"","datasetname","country","sex","bc_cate","edu2","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion"
"1","DHS","Albania","Men","1950-1959","High",195.08774100244,7.74793991446495,1.83212900161743,4,23.6
"2","DHS","Albania","Men","1950-1959","Low",133.426444649696,8.16014903783798,0.332987993955612,6.1,4.1
"3","DHS","Albania","Men","1960-1969","High",927.830367699265,75.9899270236492,25.2674369215965,8.2,33.3
"4","DHS","Albania","Men","1960-1969","Low",615.246507823467,40.5955282300711,12.1248451918364,6.6,29.9
"5","DHS","Albania","Men","1970-1979","High",620.875400647521,105.197245955467,43.4779069274664,16.9,41.3
"6","DHS","Albania","Men","1970-1979","Low",571.249818652868,88.9634847640991,42.661617025733,15.6,48
"7","DHS","Albania","Men","1980-1989","High",135.285404488444,51.9439059197903,32.5984228104353,38.4,62.8
"8","DHS","Albania","Men","1980-1989","Low",158.945781722665,36.2889575362206,23.0968206226826,22.8,63.6
"9","DHS","Albania","Women","1950-1959","High",413.095784842968,NA,NA,NA,NA
"10","DHS","Albania","Women","1950-1959","Low",441.277539342642,NA,NA,NA,NA
"11","DHS","Albania","Women","1960-1969","High",2016.85001914203,21.2931701093912,19.7693390995264,1.1,92.8
"12","DHS","Albania","Women","1960-1969","Low",1959.19996722043,11.8080890029669,5.56453904509544,0.6,47.1
"13","DHS","Albania","Women","1970-1979","High",1588.37134511769,110.068117916584,63.0562942922115,6.9,57.3
"14","DHS","Albania","Women","1970-1979","Low",1577.64525140822,91.890357747674,36.8321258425713,5.8,40.1
"15","DHS","Albania","Women","1980-1989","High",372.710062220693,47.6523604989052,33.2331722676754,12.8,69.7
"16","DHS","Albania","Women","1980-1989","Low",443.980051755905,34.3591855019331,24.9030053019524,7.7,72.5
"17","DHS","Angola","Men","1960-1969","High",301.68770262599,3.58698497712612,0.881335020065308,1.2,24.6
"18","DHS","Angola","Men","1960-1969","Low",286.115399546921,8.77840203791857,1.7876989915967,3.1,20.4
"19","DHS","Angola","Men","1970-1979","High",523.977794855833,12.2001059949398,8.63119408488274,2.3,70.7
"20","DHS","Angola","Men","1970-1979","Low",426.879263013601,9.4566620439291,5.58685600757599,2.2,59.1
"21","DHS","Angola","Men","1980-1989","High",63.5374719724059,0.978485971689224,0.978485971689224,1.5,100
"22","DHS","Angola","Men","1980-1989","Low",63.5218601077795,1.66597598791122,1.17520497739315,2.6,70.5
"23","DHS","Angola","Women","1960-1969","High",318.418462745845,5.9491400718689,1.9415540099144,1.9,32.6
"24","DHS","Angola","Women","1960-1969","Low",337.679744333029,10.4302201718092,2.78629106283188,3.1,26.7
"25","DHS","Angola","Women","1970-1979","High",1237.25872204453,30.9833237379789,20.1416557431221,2.5,65
"26","DHS","Angola","Women","1970-1979","Low",1430.41973352432,43.196905657649,7.11143100261688,3,16.5
"27","DHS","Angola","Women","1980-1989","High",93.8752850592136,3.51234495639801,0.631065011024475,3.7,18
"28","DHS","Angola","Women","1980-1989","Low",224.023907020688,3.77007095515728,3.60606795549393,1.7,95.6
"29","DHS","Armenia","Men","1960-1969","High",106.972163423896,4.89395207166672,4.89395207166672,4.6,100
"30","DHS","Armenia","Men","1960-1969","Low",131.908103495836,5.36020505428314,2.55918401479721,4.1,47.7
"31","DHS","Armenia","Men","1970-1979","High",290.427566081285,42.6512052714825,30.3156511485577,14.7,71.1
"32","DHS","Armenia","Men","1970-1979","Low",437.116333678365,46.4822831749916,34.0101721286774,10.6,73.2
"33","DHS","Armenia","Men","1980-1989","High",32.0124947875738,5.28763994574547,3.40371689200401,16.5,64.4
"34","DHS","Armenia","Men","1980-1989","Low",52.7324796617031,11.2797028720379,8.78825584053993,21.4,77.9
"35","DHS","Armenia","Women","1960-1969","High",281.211001217365,28.8083467036486,23.5195248425007,10.2,81.6
"36","DHS","Armenia","Women","1960-1969","Low",252.273642718792,11.5040639638901,7.21526086330414,4.6,62.7
"37","DHS","Armenia","Women","1970-1979","High",811.796885505319,102.071133345366,74.1189105212688,12.6,72.6
"38","DHS","Armenia","Women","1970-1979","Low",790.78334659338,50.4890409260988,26.9707919806242,6.4,53.4
"39","DHS","Armenia","Women","1980-1989","High",114.501544326544,15.5082279443741,14.8643699288368,13.5,95.8
"40","DHS","Armenia","Women","1980-1989","Low",106.315888091922,8.11607491970062,7.29129794239998,7.6,89.8
"41","DHS","Azerbaijan","Men","1940-1949","High",26.9703082293272,1.5364990234375,1.5364990234375,5.7,100
