"","country","sex","continent","bc","ratio_neverinunion","n.x","ratio_childless","n.y"
"1","Austria","Men","Europe & North America","set_50s",1,2,1,2
"2","Austria","Women","Europe & North America","set_50s",1,2,1,2
"3","Belarus","Men","FSU","set_50s",1,2,1,2
"4","Belarus","Women","FSU","set_50s",1,2,1,2
"5","Belgium","Men","Europe & North America","set_50s",1,2,1,2
"6","Belgium","Women","Europe & North America","set_50s",1,2,1,2
"7","Croatia","Men","Europe & North America","set_50s",1,2,1,2
"8","Croatia","Women","Europe & North America","set_50s",1,2,1,2
"9","Czechia","Men","Europe & North America","set_50s",1,2,1,2
"10","Czechia","Women","Europe & North America","set_50s",1,2,1,2
"11","Estonia","Men","Europe & North America","set_50s",1,2,1,2
"12","Estonia","Women","Europe & North America","set_50s",1,2,1,2
"13","Finland","Men","Europe & North America","set_50s",1,2,1,2
"14","Finland","Women","Europe & North America","set_50s",1,2,1,2
"15","France","Men","Europe & North America","set_50s",1,2,1,2
"16","France","Women","Europe & North America","set_50s",1,2,1,2
"17","Germany","Men","Europe & North America","set_50s",1,2,1,2
"18","Germany","Women","Europe & North America","set_50s",1,2,1,2
"19","Hungary","Men","Europe & North America","set_50s",1,2,1,2
"20","Hungary","Women","Europe & North America","set_50s",1,2,1,2
"21","Ireland","Men","Europe & North America","set_50s",1,2,1,2
"22","Ireland","Women","Europe & North America","set_50s",1,2,1,2
"23","Italy","Men","Europe & North America","set_50s",1,2,1,2
"24","Italy","Women","Europe & North America","set_50s",1,2,1,2
"25","Poland","Men","Europe & North America","set_50s",1,2,1,2
"26","Poland","Women","Europe & North America","set_50s",1,2,1,2
"27","Serbia","Men","Europe & North America","set_50s",1,2,1,2
"28","Serbia","Women","Europe & North America","set_50s",1,2,1,2
"29","Spain","Men","Europe & North America","set_50s",1,2,1,2
"30","Spain","Women","Europe & North America","set_50s",1,2,1,2
"31","The UK","Men","Europe & North America","set_50s",1,2,1,2
"32","The UK","Women","Europe & North America","set_50s",1,2,1,2
"33","Austria","Men","Europe & North America","ratio_6050",1.58510638297872,2,1.47701149425287,2
"34","Austria","Women","Europe & North America","ratio_6050",0.753472222222222,2,1.11188811188811,2
"35","Belarus","Men","FSU","ratio_6050",0.876,2,1.47777777777778,2
"36","Belarus","Women","FSU","ratio_6050",1.14285714285714,2,1.20238095238095,2
"37","Belgium","Men","Europe & North America","ratio_6050",1.11284046692607,2,1.02551020408163,2
"38","Belgium","Women","Europe & North America","ratio_6050",1.09493670886076,2,0.83974358974359,2
