"","country","sex","bc_cate","education","datasetname","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion"
"1","Albania","Men","1955-1959","Low","DHS",6,NA,NA,NA,NA
"2","Albania","Men","1955-1959","Medium","DHS",518,NA,NA,NA,NA
"3","Albania","Men","1955-1959","High","DHS",337,NA,NA,NA,NA
"4","Albania","Men","1960-1964","Low","DHS",18,NA,NA,NA,NA
"5","Albania","Men","1960-1964","Medium","DHS",1243,NA,NA,NA,NA
"6","Albania","Men","1960-1964","High","DHS",859,NA,NA,NA,NA
"7","Albania","Men","1965-1969","Low","DHS",11,NA,NA,NA,NA
"8","Albania","Men","1965-1969","Medium","DHS",1020,13,5,1.3,38.5
"9","Albania","Men","1965-1969","High","DHS",901,21,17,2.3,81
"10","Albania","Men","1970-1974","Low","DHS",7,1,1,14.3,100
"11","Albania","Men","1970-1974","Medium","DHS",853,50,15,5.9,30
"12","Albania","Men","1970-1974","High","DHS",846,58,25,6.9,43.1
"13","Albania","Men","1975-1979","Low","DHS",9,1,1,11.1,100
"14","Albania","Men","1975-1979","Medium","DHS",926,55,28,5.9,50.9
"15","Albania","Men","1975-1979","High","DHS",603,49,35,8.1,71.4
"16","Albania","Men","1980-1984","Low","DHS",12,6,5,50,83.3
"17","Albania","Men","1980-1984","Medium","DHS",491,32,24,6.5,75
"18","Albania","Men","1980-1984","High","DHS",298,35,24,11.7,68.6
"19","Albania","Women","1955-1959","Low","DHS",2,NA,NA,NA,NA
"20","Albania","Women","1955-1959","Medium","DHS",144,8,1,5.6,12.5
"21","Albania","Women","1955-1959","High","DHS",183,8,2,4.4,25
"22","Albania","Women","1960-1964","Low","DHS",5,2,1,40,50
"23","Albania","Women","1960-1964","Medium","DHS",401,19,6,4.7,31.6
"24","Albania","Women","1960-1964","High","DHS",471,35,8,7.4,22.9
"25","Albania","Women","1965-1969","Low","DHS",2,NA,NA,NA,NA
"26","Albania","Women","1965-1969","Medium","DHS",326,27,3,8.3,11.1
"27","Albania","Women","1965-1969","High","DHS",395,36,13,9.1,36.1
"28","Albania","Women","1970-1974","Low","DHS",6,NA,NA,NA,NA
"29","Albania","Women","1970-1974","Medium","DHS",292,34,10,11.6,29.4
"30","Albania","Women","1970-1974","High","DHS",336,29,8,8.6,27.6
"31","Albania","Women","1975-1979","Low","DHS",3,NA,NA,NA,NA
"32","Albania","Women","1975-1979","Medium","DHS",321,41,20,12.8,48.8
"33","Albania","Women","1975-1979","High","DHS",242,43,24,17.8,55.8
"34","Albania","Women","1980-1984","Low","DHS",5,2,2,40,100
"35","Albania","Women","1980-1984","Medium","DHS",174,37,24,21.3,64.9
"36","Albania","Women","1980-1984","High","DHS",137,50,33,36.5,66
"37","Angola","Men","1965-1969","Low","DHS",236,12,3,5.1,25
"38","Angola","Men","1965-1969","Medium","DHS",283,8,3,2.8,37.5
"39","Angola","Men","1965-1969","High","DHS",123,4,2,3.3,50
"40","Angola","Men","1970-1974","Low","DHS",388,17,2,4.4,11.8
"41","Angola","Men","1970-1974","Medium","DHS",433,10,2,2.3,20
"42","Angola","Men","1970-1974","High","DHS",198,5,3,2.5,60
"43","Angola","Men","1975-1979","Low","DHS",629,26,9,4.1,34.6
"44","Angola","Men","1975-1979","Medium","DHS",602,9,2,1.5,22.2
"45","Angola","Men","1975-1979","High","DHS",367,14,8,3.8,57.1
"46","Angola","Men","1980-1984","Low","DHS",170,4,4,2.4,100
"47","Angola","Men","1980-1984","Medium","DHS",119,2,1,1.7,50
"48","Angola","Men","1980-1984","High","DHS",73,2,1,2.7,50
"49","Angola","Women","1960-1964","Low","DHS",26,1,1,3.8,100
"50","Angola","Women","1960-1964","Medium","DHS",103,3,2,2.9,66.7
"51","Angola","Women","1960-1964","High","DHS",108,4,NA,3.7,NA
"52","Angola","Women","1965-1969","Low","DHS",39,4,1,10.3,25
"53","Angola","Women","1965-1969","Medium","DHS",155,7,2,4.5,28.6
"54","Angola","Women","1965-1969","High","DHS",180,5,1,2.8,20
"55","Angola","Women","1970-1974","Low","DHS",47,NA,NA,NA,NA
"56","Angola","Women","1970-1974","Medium","DHS",155,8,2,5.2,25
"57","Angola","Women","1970-1974","High","DHS",232,8,3,3.4,37.5
"58","Angola","Women","1975-1979","Low","DHS",71,5,3,7,60
"59","Angola","Women","1975-1979","Medium","DHS",183,6,2,3.3,33.3
"60","Angola","Women","1975-1979","High","DHS",271,6,4,2.2,66.7
"61","Angola","Women","1980-1984","Low","DHS",31,3,2,9.7,66.7
"62","Angola","Women","1980-1984","Medium","DHS",42,4,3,9.5,75
"63","Angola","Women","1980-1984","High","DHS",67,3,3,4.5,100
"64","Armenia","Men","1965-1969","Medium","DHS",29,1,1,3.4,100
