"","country","sex","bc_cate","edu_cate","TotalN","ChildlessN","NeverInUnionN"
"1","Bulgaria","Men","1919","Medium",1,NA,NA
"2","Bulgaria","Men","1920-1924","Low",3,NA,NA
"3","Bulgaria","Men","1920-1924","Medium",3,NA,NA
"4","Bulgaria","Men","1920-1924","High",2,NA,NA
"5","Bulgaria","Men","1925-1929","Low",142,18,12
"6","Bulgaria","Men","1925-1929","Medium",51,6,6
"7","Bulgaria","Men","1925-1929","High",42,4,4
"8","Bulgaria","Men","1930-1934","Low",159,6,6
"9","Bulgaria","Men","1930-1934","Medium",77,6,5
"10","Bulgaria","Men","1930-1934","High",58,3,2
"11","Bulgaria","Men","1935-1939","Low",170,15,11
"12","Bulgaria","Men","1935-1939","Medium",104,7,5
"13","Bulgaria","Men","1935-1939","High",78,3,2
"14","Bulgaria","Men","1940-1944","Low",154,19,16
"15","Bulgaria","Men","1940-1944","Medium",151,10,10
"16","Bulgaria","Men","1940-1944","High",67,9,9
"17","Bulgaria","Men","1945-1949","Low",133,15,12
"18","Bulgaria","Men","1945-1949","Medium",230,15,13
"19","Bulgaria","Men","1945-1949","High",66,3,3
"20","Bulgaria","Men","1945-1949",NA,1,NA,NA
"21","Bulgaria","Men","1950-1954","Low",98,15,14
"22","Bulgaria","Men","1950-1954","Medium",242,20,15
"23","Bulgaria","Men","1950-1954","High",95,15,11
"24","Bulgaria","Men","1955-1959","Low",88,12,11
"25","Bulgaria","Men","1955-1959","Medium",240,35,35
"26","Bulgaria","Men","1955-1959","High",83,6,6
"27","Bulgaria","Men","1955-1959",NA,1,NA,NA
"28","Bulgaria","Men","1960-1964","Low",128,11,8
"29","Bulgaria","Men","1960-1964","Medium",398,57,43
"30","Bulgaria","Men","1960-1964","High",86,20,17
"31","Bulgaria","Men","1960-1964",NA,1,NA,NA
"32","Bulgaria","Men","1965-1969","Low",130,26,22
"33","Bulgaria","Men","1965-1969","Medium",385,84,78
"34","Bulgaria","Men","1965-1969","High",89,24,20
"35","Bulgaria","Women","1920-1924","Low",3,NA,NA
"36","Bulgaria","Women","1920-1924","Medium",3,NA,NA
"37","Bulgaria","Women","1925-1929","Low",106,14,6
"38","Bulgaria","Women","1925-1929","Medium",21,2,1
"39","Bulgaria","Women","1925-1929","High",13,1,1
"40","Bulgaria","Women","1930-1934","Low",227,18,6
"41","Bulgaria","Women","1930-1934","Medium",101,5,3
"42","Bulgaria","Women","1930-1934","High",31,6,3
"43","Bulgaria","Women","1935-1939","Low",198,15,8
"44","Bulgaria","Women","1935-1939","Medium",117,6,2
"45","Bulgaria","Women","1935-1939","High",51,9,7
"46","Bulgaria","Women","1940-1944","Low",180,7,5
"47","Bulgaria","Women","1940-1944","Medium",133,7,6
"48","Bulgaria","Women","1940-1944","High",69,8,4
"49","Bulgaria","Women","1945-1949","Low",137,3,3
"50","Bulgaria","Women","1945-1949","Medium",216,9,6
"51","Bulgaria","Women","1945-1949","High",105,14,10
"52","Bulgaria","Women","1950-1954","Low",110,5,2
"53","Bulgaria","Women","1950-1954","Medium",206,9,7
"54","Bulgaria","Women","1950-1954","High",109,13,11
"55","Bulgaria","Women","1950-1954",NA,1,NA,NA
"56","Bulgaria","Women","1955-1959","Low",94,7,4
"57","Bulgaria","Women","1955-1959","Medium",202,17,14
"58","Bulgaria","Women","1955-1959","High",114,10,10
"59","Bulgaria","Women","1955-1959",NA,1,NA,NA
"60","Bulgaria","Women","1960-1964","Low",157,7,5
"61","Bulgaria","Women","1960-1964","Medium",489,30,26
"62","Bulgaria","Women","1960-1964","High",246,24,20
"63","Bulgaria","Women","1965-1969","Low",143,12,10
"64","Bulgaria","Women","1965-1969","Medium",465,37,34
"65","Bulgaria","Women","1965-1969","High",232,39,35
"66","Bulgaria","Women","1965-1969",NA,3,1,1
"67","Russia","Men","1920-1924","Low",4,NA,NA
"68","Russia","Men","1920-1924","Medium",1,NA,NA
"69","Russia","Men","1920-1924","High",1,NA,NA
"70","Russia","Men","1920-1924",NA,1,NA,NA
"71","Russia","Men","1925-1929","Low",103,9,4
"72","Russia","Men","1925-1929","Medium",34,4,NA
"73","Russia","Men","1925-1929","High",29,1,NA
"74","Russia","Men","1925-1929",NA,10,2,2
"75","Russia","Men","1930-1934","Low",116,10,5
"76","Russia","Men","1930-1934","Medium",48,3,2
"77","Russia","Men","1930-1934","High",36,5,3
"78","Russia","Men","1930-1934",NA,10,NA,NA
"79","Russia","Men","1935-1939","Low",99,11,4
"80","Russia","Men","1935-1939","Medium",86,14,7
"81","Russia","Men","1935-1939","High",88,3,2
"82","Russia","Men","1935-1939",NA,14,1,NA
"83","Russia","Men","1940-1944","Low",55,5,2
"84","Russia","Men","1940-1944","Medium",69,6,5
"85","Russia","Men","1940-1944","High",64,4,2
"86","Russia","Men","1940-1944",NA,6,1,NA
"87","Russia","Men","1945-1949","Low",40,4,3
"88","Russia","Men","1945-1949","Medium",131,10,4
"89","Russia","Men","1945-1949","High",119,8,6
"90","Russia","Men","1945-1949",NA,26,4,3
"91","Russia","Men","1950-1954","Low",32,6,4
"92","Russia","Men","1950-1954","Medium",181,15,9
"93","Russia","Men","1950-1954","High",135,8,4
"94","Russia","Men","1950-1954",NA,32,2,1
"95","Russia","Men","1955-1959","Low",26,4,3
"96","Russia","Men","1955-1959","Medium",234,24,12
"97","Russia","Men","1955-1959","High",132,10,7
"98","Russia","Men","1955-1959",NA,24,4,3
"99","Russia","Men","1960-1964","Low",13,6,4
"100","Russia","Men","1960-1964","Medium",243,29,20
"101","Russia","Men","1960-1964","High",167,19,12
"102","Russia","Men","1960-1964",NA,36,4,2
"103","Russia","Men","1965-1969","Low",14,2,2
"104","Russia","Men","1965-1969","Medium",227,43,28
"105","Russia","Men","1965-1969","High",118,11,7
"106","Russia","Men","1965-1969",NA,24,2,1
"107","Russia","Women","1920-1924","Low",12,NA,NA
"108","Russia","Women","1920-1924","Medium",10,3,NA
"109","Russia","Women","1920-1924","High",5,1,1
"110","Russia","Women","1920-1924",NA,1,1,NA
"111","Russia","Women","1925-1929","Low",257,32,13
"112","Russia","Women","1925-1929","Medium",90,15,7
"113","Russia","Women","1925-1929","High",66,15,4
"114","Russia","Women","1925-1929",NA,6,1,1
"115","Russia","Women","1930-1934","Low",248,17,4
"116","Russia","Women","1930-1934","Medium",90,9,1
"117","Russia","Women","1930-1934","High",81,10,3
"118","Russia","Women","1930-1934",NA,11,2,2
"119","Russia","Women","1935-1939","Low",263,15,6
"120","Russia","Women","1935-1939","Medium",160,12,4
"121","Russia","Women","1935-1939","High",240,25,12
"122","Russia","Women","1935-1939",NA,20,2,1
"123","Russia","Women","1940-1944","Low",122,11,4
"124","Russia","Women","1940-1944","Medium",103,14,7
"125","Russia","Women","1940-1944","High",191,23,12
"126","Russia","Women","1940-1944",NA,14,3,NA
"127","Russia","Women","1945-1949","Low",70,4,1
"128","Russia","Women","1945-1949","Medium",199,17,9
"129","Russia","Women","1945-1949","High",226,21,13
"130","Russia","Women","1945-1949",NA,19,1,1
"131","Russia","Women","1950-1954","Low",65,6,1
"132","Russia","Women","1950-1954","Medium",295,16,7
"133","Russia","Women","1950-1954","High",341,18,13
"134","Russia","Women","1950-1954",NA,42,6,3
"135","Russia","Women","1955-1959","Low",23,1,NA
"136","Russia","Women","1955-1959","Medium",319,20,10
"137","Russia","Women","1955-1959","High",349,32,20
"138","Russia","Women","1955-1959",NA,58,3,1
"139","Russia","Women","1960-1964","Low",19,2,1
"140","Russia","Women","1960-1964","Medium",310,20,11
"141","Russia","Women","1960-1964","High",346,20,12
"142","Russia","Women","1960-1964",NA,46,4,4
"143","Russia","Women","1965-1969","Low",14,1,1
"144","Russia","Women","1965-1969","Medium",231,12,6
"145","Russia","Women","1965-1969","High",231,27,16
"146","Russia","Women","1965-1969",NA,28,2,NA
"147","Georgia","Men","1925-1929","Low",48,3,3
"148","Georgia","Men","1925-1929","Medium",50,NA,NA
"149","Georgia","Men","1925-1929","High",23,2,1
"150","Georgia","Men","1930-1934","Low",100,6,5
"151","Georgia","Men","1930-1934","Medium",53,NA,NA
"152","Georgia","Men","1930-1934","High",39,2,2
"153","Georgia","Men","1935-1939","Low",89,6,6
"154","Georgia","Men","1935-1939","Medium",154,7,6
"155","Georgia","Men","1935-1939","High",74,8,7
"156","Georgia","Men","1940-1944","Low",46,6,3
"157","Georgia","Men","1940-1944","Medium",116,5,5
"158","Georgia","Men","1940-1944","High",56,4,4
"159","Georgia","Men","1945-1949","Low",23,2,1
"160","Georgia","Men","1945-1949","Medium",147,11,10
"161","Georgia","Men","1945-1949","High",88,NA,NA
"162","Georgia","Men","1950-1954","Low",25,2,2
"163","Georgia","Men","1950-1954","Medium",202,11,11
"164","Georgia","Men","1950-1954","High",110,7,7
"165","Georgia","Men","1955-1959","Low",15,NA,NA
"166","Georgia","Men","1955-1959","Medium",288,22,21
"167","Georgia","Men","1955-1959","High",154,16,16
"168","Georgia","Men","1960-1964","Low",20,4,3
"169","Georgia","Men","1960-1964","Medium",321,34,33
"170","Georgia","Men","1960-1964","High",128,17,16
"171","Georgia","Men","1965-1969","Low",16,6,6
"172","Georgia","Men","1965-1969","Medium",304,45,43
"173","Georgia","Men","1965-1969","High",130,26,25
"174","Georgia","Men","1970-1974","Low",3,NA,NA
"175","Georgia","Men","1970-1974","Medium",65,21,20
"176","Georgia","Men","1970-1974","High",42,16,15
"177","Georgia","Women","1925-1929","Low",103,13,10
"178","Georgia","Women","1925-1929","Medium",84,14,12
"179","Georgia","Women","1925-1929","High",31,10,6
"180","Georgia","Women","1930-1934","Low",141,11,9
"181","Georgia","Women","1930-1934","Medium",120,20,12
"182","Georgia","Women","1930-1934","High",39,6,4
"183","Georgia","Women","1935-1939","Low",139,17,14
"184","Georgia","Women","1935-1939","Medium",203,19,11
"185","Georgia","Women","1935-1939","High",87,16,14
"186","Georgia","Women","1940-1944","Low",73,7,4
"187","Georgia","Women","1940-1944","Medium",197,24,17
"188","Georgia","Women","1940-1944","High",73,15,15
"189","Georgia","Women","1945-1949","Low",55,7,5
"190","Georgia","Women","1945-1949","Medium",199,14,13
"191","Georgia","Women","1945-1949","High",121,21,18
"192","Georgia","Women","1950-1954","Low",51,6,6
"193","Georgia","Women","1950-1954","Medium",306,26,21
"194","Georgia","Women","1950-1954","High",118,19,18
"195","Georgia","Women","1955-1959","Low",32,2,2
"196","Georgia","Women","1955-1959","Medium",356,31,31
"197","Georgia","Women","1955-1959","High",156,17,16
"198","Georgia","Women","1960-1964","Low",31,2,2
"199","Georgia","Women","1960-1964","Medium",415,44,39
"200","Georgia","Women","1960-1964","High",180,32,31
"201","Georgia","Women","1965-1969","Low",23,3,3
"202","Georgia","Women","1965-1969","Medium",345,37,33
"203","Georgia","Women","1965-1969","High",152,37,36
"204","Georgia","Women","1970-1974","Low",16,NA,NA
"205","Georgia","Women","1970-1974","Medium",101,12,11
"206","Georgia","Women","1970-1974","High",57,11,10
"207","Germany","Men","1925-1929","Low",23,10,6
"208","Germany","Men","1925-1929","Medium",92,19,15
"209","Germany","Men","1925-1929","High",80,11,8
"210","Germany","Men","1925-1929",NA,7,NA,NA
"211","Germany","Men","1930-1934","Low",24,9,8
"212","Germany","Men","1930-1934","Medium",136,33,28
"213","Germany","Men","1930-1934","High",97,15,15
"214","Germany","Men","1930-1934",NA,7,1,NA
"215","Germany","Men","1935-1939","Low",38,14,12
"216","Germany","Men","1935-1939","Medium",208,56,39
"217","Germany","Men","1935-1939","High",146,28,20
"218","Germany","Men","1935-1939",NA,6,1,1
