"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"1",1,"Albania","Men","1950-1959","High",339,NA,NA,NA,NA,"Europe & North America"
"2",2,"Albania","Men","1950-1959","Low",522,NA,NA,NA,NA,"Europe & North America"
"3",3,"Albania","Men","1960-1969","High",1766,21,17,1.2,81,"Europe & North America"
"4",4,"Albania","Men","1960-1969","Low",2286,13,5,0.6,38.5,"Europe & North America"
"5",5,"Albania","Men","1970-1979","High",1457,107,60,7.3,56.1,"Europe & North America"
"6",6,"Albania","Men","1970-1979","Low",1787,107,45,6,42.1,"Europe & North America"
"7",7,"Albania","Men","1980-1989","High",298,35,24,11.7,68.6,"Europe & North America"
"8",8,"Albania","Men","1980-1989","Low",503,38,29,7.6,76.3,"Europe & North America"
"9",9,"Albania","Women","1950-1959","High",161,8,2,5,25,"Europe & North America"
"10",10,"Albania","Women","1950-1959","Low",168,8,1,4.8,12.5,"Europe & North America"
"11",11,"Albania","Women","1960-1969","High",789,59,19,7.5,32.2,"Europe & North America"
"12",12,"Albania","Women","1960-1969","Low",811,60,12,7.4,20,"Europe & North America"
"13",13,"Albania","Women","1970-1979","High",585,73,32,12.5,43.8,"Europe & North America"
"14",14,"Albania","Women","1970-1979","Low",615,74,30,12,40.5,"Europe & North America"
"15",15,"Albania","Women","1980-1989","High",121,46,32,38,69.6,"Europe & North America"
"16",16,"Albania","Women","1980-1989","Low",195,43,27,22.1,62.8,"Europe & North America"
"17",17,"Angola","Men","1960-1969","High",274,7,3,2.6,42.9,"Africa"
"18",18,"Angola","Men","1960-1969","Low",368,17,5,4.6,29.4,"Africa"
"19",19,"Angola","Men","1970-1979","High",1093,29,13,2.7,44.8,"Africa"
"20",20,"Angola","Men","1970-1979","Low",1524,52,13,3.4,25,"Africa"
"21",21,"Angola","Men","1980-1989","High",99,2,1,2,50,"Africa"
"22",22,"Angola","Men","1980-1989","Low",263,6,5,2.3,83.3,"Africa"
"23",23,"Angola","Women","1960-1969","High",284,9,1,3.2,11.1,"Africa"
"24",24,"Angola","Women","1960-1969","Low",327,15,6,4.6,40,"Africa"
"25",25,"Angola","Women","1970-1979","High",426,12,6,2.8,50,"Africa"
"26",26,"Angola","Women","1970-1979","Low",533,21,8,3.9,38.1,"Africa"
"27",28,"Angola","Women","1980-1989","Low",91,7,5,7.7,71.4,"Africa"
"28",29,"Armenia","Men","1960-1969","High",214,18,14,8.4,77.8,"FSU"
"29",30,"Armenia","Men","1960-1969","Low",314,15,9,4.8,60,"FSU"
"30",31,"Armenia","Men","1970-1979","High",799,83,59,10.4,71.1,"FSU"
"31",32,"Armenia","Men","1970-1979","Low",824,47,25,5.7,53.2,"FSU"
"32",33,"Armenia","Men","1980-1989","High",96,12,11,12.5,91.7,"FSU"
"33",34,"Armenia","Men","1980-1989","Low",123,11,9,8.9,81.8,"FSU"
"34",35,"Armenia","Women","1960-1969","High",109,5,5,4.6,100,"FSU"
"35",36,"Armenia","Women","1960-1969","Low",130,7,4,5.4,57.1,"FSU"
"36",37,"Armenia","Women","1970-1979","High",293,37,25,12.6,67.6,"FSU"
"37",38,"Armenia","Women","1970-1979","Low",434,43,31,9.9,72.1,"FSU"
"38",40,"Armenia","Women","1980-1989","Low",57,11,9,19.3,81.8,"FSU"
"39",49,"Austria","Men","1930-1939","Medium",73,6,2,8.2,33.3,"Europe & North America"
"40",53,"Austria","Men","1940-1949","Medium",212,35,3,16.5,8.6,"Europe & North America"
"41",57,"Austria","Men","1950-1959","Medium",303,46,5,15.2,10.9,"Europe & North America"
"42",59,"Austria","Men","1960-1969","High",190,53,11,27.9,20.8,"Europe & North America"
"43",60,"Austria","Men","1960-1969","Low",110,39,15,35.5,38.5,"Europe & North America"
"44",61,"Austria","Men","1960-1969","Medium",769,183,56,23.8,30.6,"Europe & North America"
"45",63,"Austria","Men","1970-1979","High",105,42,13,40,31,"Europe & North America"
"46",65,"Austria","Men","1970-1979","Medium",378,122,32,32.3,26.2,"Europe & North America"
"47",69,"Austria","Men","1980-1989","Medium",64,32,10,50,31.2,"Europe & North America"
"48",75,"Austria","Women","1930-1939","Low",88,6,1,6.8,16.7,"Europe & North America"
"49",76,"Austria","Women","1930-1939","Medium",85,9,2,10.6,22.2,"Europe & North America"
"50",78,"Austria","Women","1940-1949","Low",128,12,3,9.4,25,"Europe & North America"
"51",79,"Austria","Women","1940-1949","Medium",212,27,6,12.7,22.2,"Europe & North America"
"52",81,"Austria","Women","1950-1959","Low",79,8,3,10.1,37.5,"Europe & North America"
"53",82,"Austria","Women","1950-1959","Medium",293,37,9,12.6,24.3,"Europe & North America"
"54",84,"Austria","Women","1960-1969","High",245,60,13,24.5,21.7,"Europe & North America"
"55",85,"Austria","Women","1960-1969","Low",232,35,9,15.1,25.7,"Europe & North America"
"56",86,"Austria","Women","1960-1969","Medium",1028,145,30,14.1,20.7,"Europe & North America"
"57",87,"Austria","Women","1970-1979","High",128,46,10,35.9,21.7,"Europe & North America"
"58",88,"Austria","Women","1970-1979","Low",93,13,4,14,30.8,"Europe & North America"
"59",89,"Austria","Women","1970-1979","Medium",531,100,23,18.8,23,"Europe & North America"
"60",93,"Azerbaijan","Men","1950-1959","High",213,20,12,9.4,60,"Asia"
"61",94,"Azerbaijan","Men","1950-1959","Low",380,41,23,10.8,56.1,"Asia"
"62",95,"Azerbaijan","Men","1960-1969","High",816,90,62,11,68.9,"Asia"
"63",96,"Azerbaijan","Men","1960-1969","Low",1650,191,124,11.6,64.9,"Asia"
"64",97,"Azerbaijan","Men","1970-1979","High",150,29,25,19.3,86.2,"Asia"
"65",98,"Azerbaijan","Men","1970-1979","Low",286,56,38,19.6,67.9,"Asia"
"66",101,"Azerbaijan","Women","1950-1959","High",204,7,2,3.4,28.6,"Asia"
"67",102,"Azerbaijan","Women","1950-1959","Low",237,10,2,4.2,20,"Asia"
"68",103,"Azerbaijan","Women","1960-1969","High",300,10,2,3.3,20,"Asia"
"69",104,"Azerbaijan","Women","1960-1969","Low",323,12,6,3.7,50,"Asia"
"70",107,"Azerbaijan","Women","1970-1979","Low",79,13,7,16.5,53.8,"Asia"
"71",112,"Belarus","Men","1940-1949","High",95,4,1,4.2,25,"FSU"
"72",114,"Belarus","Men","1940-1949","Medium",168,14,7,8.3,50,"FSU"
"73",115,"Belarus","Men","1950-1959","High",165,15,6,9.1,40,"FSU"
"74",117,"Belarus","Men","1950-1959","Medium",463,36,17,7.8,47.2,"FSU"
"75",118,"Belarus","Men","1960-1969","High",163,18,9,11,50,"FSU"
"76",120,"Belarus","Men","1960-1969","Medium",540,70,30,13,42.9,"FSU"
"77",121,"Belarus","Men","1970-1979","High",264,43,17,16.3,39.5,"FSU"
"78",123,"Belarus","Men","1970-1979","Medium",531,78,40,14.7,51.3,"FSU"
"79",124,"Belarus","Men","1980-1989","High",95,20,9,21.1,45,"FSU"
"80",126,"Belarus","Men","1980-1989","Medium",149,37,16,24.8,43.2,"FSU"
"81",129,"Belarus","Women","1930-1939","Low",54,4,3,7.4,75,"FSU"
"82",130,"Belarus","Women","1930-1939","Medium",65,10,7,15.4,70,"FSU"
"83",131,"Belarus","Women","1940-1949","High",154,25,17,16.2,68,"FSU"
"84",132,"Belarus","Women","1940-1949","Low",110,11,8,10,72.7,"FSU"
"85",133,"Belarus","Women","1940-1949","Medium",336,36,21,10.7,58.3,"FSU"
"86",134,"Belarus","Women","1950-1959","High",276,25,13,9.1,52,"FSU"
"87",136,"Belarus","Women","1950-1959","Medium",693,56,31,8.1,55.4,"FSU"
"88",137,"Belarus","Women","1960-1969","High",260,45,28,17.3,62.2,"FSU"
"89",139,"Belarus","Women","1960-1969","Medium",666,48,31,7.2,64.6,"FSU"
"90",140,"Belarus","Women","1970-1979","High",377,39,19,10.3,48.7,"FSU"
"91",142,"Belarus","Women","1970-1979","Medium",643,54,25,8.4,46.3,"FSU"
"92",143,"Belarus","Women","1980-1989","High",126,14,6,11.1,42.9,"FSU"
"93",145,"Belarus","Women","1980-1989","Medium",140,15,5,10.7,33.3,"FSU"
"94",149,"Belgium","Men","1920-1929","Low",54,7,2,13,28.6,"Europe & North America"
"95",151,"Belgium","Men","1930-1939","High",107,23,5,21.5,21.7,"Europe & North America"
"96",152,"Belgium","Men","1930-1939","Low",248,61,7,24.6,11.5,"Europe & North America"
"97",153,"Belgium","Men","1930-1939","Medium",127,28,1,22,3.6,"Europe & North America"
"98",155,"Belgium","Men","1940-1949","High",213,52,3,24.4,5.8,"Europe & North America"
"99",156,"Belgium","Men","1940-1949","Low",304,91,21,29.9,23.1,"Europe & North America"
"100",157,"Belgium","Men","1940-1949","Medium",199,44,9,22.1,20.5,"Europe & North America"
"101",159,"Belgium","Men","1950-1959","High",301,43,14,14.3,32.6,"Europe & North America"
"102",160,"Belgium","Men","1950-1959","Low",316,74,22,23.4,29.7,"Europe & North America"
"103",161,"Belgium","Men","1950-1959","Medium",335,70,12,20.9,17.1,"Europe & North America"
"104",163,"Belgium","Men","1960-1969","High",377,65,15,17.2,23.1,"Europe & North America"
"105",164,"Belgium","Men","1960-1969","Low",264,60,21,22.7,35,"Europe & North America"
"106",165,"Belgium","Men","1960-1969","Medium",382,81,23,21.2,28.4,"Europe & North America"
"107",167,"Belgium","Men","1970-1979","High",206,40,10,19.4,25,"Europe & North America"
"108",168,"Belgium","Men","1970-1979","Low",88,33,10,37.5,30.3,"Europe & North America"
"109",169,"Belgium","Men","1970-1979","Medium",158,31,7,19.6,22.6,"Europe & North America"
"110",178,"Belgium","Women","1920-1929","Low",79,15,5,19,33.3,"Europe & North America"
"111",180,"Belgium","Women","1930-1939","High",75,27,11,36,40.7,"Europe & North America"
"112",181,"Belgium","Women","1930-1939","Low",329,72,25,21.9,34.7,"Europe & North America"
"113",182,"Belgium","Women","1930-1939","Medium",117,27,9,23.1,33.3,"Europe & North America"
"114",184,"Belgium","Women","1940-1949","High",191,47,9,24.6,19.1,"Europe & North America"
"115",185,"Belgium","Women","1940-1949","Low",357,69,13,19.3,18.8,"Europe & North America"
"116",186,"Belgium","Women","1940-1949","Medium",172,39,7,22.7,17.9,"Europe & North America"
"117",188,"Belgium","Women","1950-1959","High",315,52,5,16.5,9.6,"Europe & North America"
"118",189,"Belgium","Women","1950-1959","Low",367,54,11,14.7,20.4,"Europe & North America"
"119",190,"Belgium","Women","1950-1959","Medium",329,52,9,15.8,17.3,"Europe & North America"
"120",192,"Belgium","Women","1960-1969","High",477,74,14,15.5,18.9,"Europe & North America"
"121",193,"Belgium","Women","1960-1969","Low",258,29,4,11.2,13.8,"Europe & North America"
"122",194,"Belgium","Women","1960-1969","Medium",412,47,8,11.4,17,"Europe & North America"
"123",196,"Belgium","Women","1970-1979","High",237,40,6,16.9,15,"Europe & North America"
"124",197,"Belgium","Women","1970-1979","Low",68,8,4,11.8,50,"Europe & North America"
"125",198,"Belgium","Women","1970-1979","Medium",163,22,5,13.5,22.7,"Europe & North America"
"126",203,"Benin","Men","1960-1969","High",95,3,2,3.2,66.7,"Africa"
"127",204,"Benin","Men","1960-1969","Low",303,4,1,1.3,25,"Africa"
"128",205,"Benin","Men","1970-1979","High",665,20,6,3,30,"Africa"
"129",206,"Benin","Men","1970-1979","Low",2087,22,3,1.1,13.6,"Africa"
"130",207,"Benin","Men","1980-1989","High",346,13,1,3.8,7.7,"Africa"
"131",208,"Benin","Men","1980-1989","Low",1015,14,2,1.4,14.3,"Africa"
"132",209,"Benin","Women","1950-1959","High",108,1,NA,0.9,NA,"Africa"
"133",210,"Benin","Women","1950-1959","Low",175,2,2,1.1,100,"Africa"
"134",211,"Benin","Women","1960-1969","High",352,5,1,1.4,20,"Africa"
"135",212,"Benin","Women","1960-1969","Low",381,9,5,2.4,55.6,"Africa"
"136",213,"Benin","Women","1970-1979","High",629,18,8,2.9,44.4,"Africa"
"137",214,"Benin","Women","1970-1979","Low",635,14,4,2.2,28.6,"Africa"
"138",215,"Benin","Women","1980-1989","High",218,15,8,6.9,53.3,"Africa"
"139",216,"Benin","Women","1980-1989","Low",378,19,9,5,47.4,"Africa"
"140",217,"Bolivia","Men","1950-1959","High",239,13,8,5.4,61.5,"Latin America"
"141",218,"Bolivia","Men","1950-1959","Low",272,12,3,4.4,25,"Latin America"
"142",219,"Bolivia","Men","1960-1969","High",1744,98,63,5.6,64.3,"Latin America"
"143",220,"Bolivia","Men","1960-1969","Low",1856,40,18,2.2,45,"Latin America"
"144",221,"Bolivia","Men","1970-1979","High",628,63,42,10,66.7,"Latin America"
"145",222,"Bolivia","Men","1970-1979","Low",790,19,11,2.4,57.9,"Latin America"
"146",223,"Bolivia","Women","1940-1949","High",152,11,6,7.2,54.5,"Latin America"
"147",224,"Bolivia","Women","1940-1949","Low",210,6,1,2.9,16.7,"Latin America"
"148",225,"Bolivia","Women","1950-1959","High",386,19,11,4.9,57.9,"Latin America"
"149",226,"Bolivia","Women","1950-1959","Low",423,18,9,4.3,50,"Latin America"
"150",227,"Bolivia","Women","1960-1969","High",535,40,31,7.5,77.5,"Latin America"
"151",228,"Bolivia","Women","1960-1969","Low",597,35,21,5.9,60,"Latin America"
"152",229,"Bolivia","Women","1970-1979","High",196,18,12,9.2,66.7,"Latin America"
"153",230,"Bolivia","Women","1970-1979","Low",238,15,9,6.3,60,"Latin America"
"154",231,"Brazil","Men","1940-1949","High",316,38,21,12,55.3,"Latin America"
"155",232,"Brazil","Men","1940-1949","Low",501,30,16,6,53.3,"Latin America"
"156",233,"Brazil","Men","1950-1959","High",1419,166,110,11.7,66.3,"Latin America"
"157",234,"Brazil","Men","1950-1959","Low",1554,89,50,5.7,56.2,"Latin America"
"158",236,"Brazil","Men","1960-1969","High",195,28,18,14.4,64.3,"Latin America"
"159",237,"Brazil","Men","1960-1969","Low",273,12,8,4.4,66.7,"Latin America"
"160",239,"Brazil","Women","1930-1939","Low",60,5,1,8.3,20,"Latin America"
"161",240,"Brazil","Women","1940-1949","High",187,9,3,4.8,33.3,"Latin America"
"162",241,"Brazil","Women","1940-1949","Low",209,15,7,7.2,46.7,"Latin America"
"163",242,"Brazil","Women","1950-1959","High",263,24,9,9.1,37.5,"Latin America"
"164",243,"Brazil","Women","1950-1959","Low",294,18,12,6.1,66.7,"Latin America"
"165",247,"Bulgaria","Men","1920-1929","High",50,4,2,8,50,"Europe & North America"
"166",248,"Bulgaria","Men","1920-1929","Low",158,16,4,10.1,25,"Europe & North America"
"167",249,"Bulgaria","Men","1920-1929","Medium",61,6,3,9.8,50,"Europe & North America"
"168",251,"Bulgaria","Men","1930-1939","High",165,6,3,3.6,50,"Europe & North America"
"169",252,"Bulgaria","Men","1930-1939","Low",385,23,10,6,43.5,"Europe & North America"
"170",253,"Bulgaria","Men","1930-1939","Medium",237,13,6,5.5,46.2,"Europe & North America"
"171",255,"Bulgaria","Men","1940-1949","High",171,12,5,7,41.7,"Europe & North America"
"172",256,"Bulgaria","Men","1940-1949","Low",372,39,21,10.5,53.8,"Europe & North America"
"173",257,"Bulgaria","Men","1940-1949","Medium",517,31,13,6,41.9,"Europe & North America"
"174",259,"Bulgaria","Men","1950-1959","High",225,24,15,10.7,62.5,"Europe & North America"
"175",260,"Bulgaria","Men","1950-1959","Low",252,29,21,11.5,72.4,"Europe & North America"
"176",261,"Bulgaria","Men","1950-1959","Medium",636,65,36,10.2,55.4,"Europe & North America"
"177",263,"Bulgaria","Men","1960-1969","High",228,51,34,22.4,66.7,"Europe & North America"
"178",264,"Bulgaria","Men","1960-1969","Low",299,41,27,13.7,65.9,"Europe & North America"
"179",265,"Bulgaria","Men","1960-1969","Medium",956,164,110,17.2,67.1,"Europe & North America"
"180",269,"Bulgaria","Men","1970-1979","Medium",103,33,23,32,69.7,"Europe & North America"
"181",275,"Bulgaria","Women","1920-1929","Low",147,15,4,10.2,26.7,"Europe & North America"
"182",278,"Bulgaria","Women","1930-1939","High",123,15,3,12.2,20,"Europe & North America"
"183",279,"Bulgaria","Women","1930-1939","Low",516,37,8,7.2,21.6,"Europe & North America"
"184",280,"Bulgaria","Women","1930-1939","Medium",269,13,6,4.8,46.2,"Europe & North America"
"185",282,"Bulgaria","Women","1940-1949","High",257,28,13,10.9,46.4,"Europe & North America"
"186",283,"Bulgaria","Women","1940-1949","Low",460,11,2,2.4,18.2,"Europe & North America"
"187",284,"Bulgaria","Women","1940-1949","Medium",512,23,6,4.5,26.1,"Europe & North America"
"188",286,"Bulgaria","Women","1950-1959","High",323,27,20,8.4,74.1,"Europe & North America"
"189",287,"Bulgaria","Women","1950-1959","Low",303,14,5,4.6,35.7,"Europe & North America"
"190",288,"Bulgaria","Women","1950-1959","Medium",640,36,16,5.6,44.4,"Europe & North America"
"191",290,"Bulgaria","Women","1960-1969","High",586,74,48,12.6,64.9,"Europe & North America"
"192",291,"Bulgaria","Women","1960-1969","Low",351,16,9,4.6,56.2,"Europe & North America"
"193",292,"Bulgaria","Women","1960-1969","Medium",1115,73,42,6.5,57.5,"Europe & North America"
"194",294,"Bulgaria","Women","1970-1979","High",64,9,4,14.1,44.4,"Europe & North America"
"195",295,"Bulgaria","Women","1970-1979","Low",56,1,NA,1.8,NA,"Europe & North America"
"196",296,"Bulgaria","Women","1970-1979","Medium",95,9,6,9.5,66.7,"Europe & North America"
"197",300,"Burkina Faso","Men","1960-1969","High",305,7,4,2.3,57.1,"Africa"
"198",301,"Burkina Faso","Men","1960-1969","Low",2222,14,NA,0.6,NA,"Africa"
"199",302,"Burkina Faso","Men","1970-1979","High",340,9,4,2.6,44.4,"Africa"
"200",303,"Burkina Faso","Men","1970-1979","Low",2103,15,NA,0.7,NA,"Africa"
