"","country","sex.x","continent","bc","ratio_neverinunion","n.x","sex.y","ratio_childless","n.y"
"1","Albania","Women","Europe & North America","set_50s",1,8,NA,NA,NA
"2","Austria","Women","Europe & North America","set_50s",1,8,"Men",1,2
"3","Austria","Women","Europe & North America","set_50s",1,8,"Women",1,2
"4","Belarus","Women","FSU","set_50s",1,8,"Men",1,2
"5","Belarus","Women","FSU","set_50s",1,8,"Women",1,2
"6","Belgium","Women","Europe & North America","set_50s",1,8,"Men",1,2
"7","Belgium","Women","Europe & North America","set_50s",1,8,"Women",1,2
"8","Benin","Women","Africa","set_50s",1,8,NA,NA,NA
"9","Burundi","Women","Africa","set_50s",1,8,NA,NA,NA
"10","Colombia","Women","Latin America","set_50s",1,8,NA,NA,NA
"11","Croatia","Women","Europe & North America","set_50s",1,8,"Men",1,2
"12","Croatia","Women","Europe & North America","set_50s",1,8,"Women",1,2
"13","Czechia","Women","Europe & North America","set_50s",1,8,"Men",1,2
"14","Czechia","Women","Europe & North America","set_50s",1,8,"Women",1,2
"15","Estonia","Women","Europe & North America","set_50s",1,8,"Men",1,2
"16","Estonia","Women","Europe & North America","set_50s",1,8,"Women",1,2
"17","Ethiopia","Women","Africa","set_50s",1,8,NA,NA,NA
"18","Finland","Women","Europe & North America","set_50s",1,8,"Men",1,2
"19","Finland","Women","Europe & North America","set_50s",1,8,"Women",1,2
"20","France","Women","Europe & North America","set_50s",1,8,"Men",1,2
"21","France","Women","Europe & North America","set_50s",1,8,"Women",1,2
"22","Germany","Women","Europe & North America","set_50s",1,8,"Men",1,2
"23","Germany","Women","Europe & North America","set_50s",1,8,"Women",1,2
"24","Haiti","Women","Latin America","set_50s",1,8,NA,NA,NA
"25","Hungary","Women","Europe & North America","set_50s",1,8,"Men",1,2
"26","Hungary","Women","Europe & North America","set_50s",1,8,"Women",1,2
"27","Ireland","Women","Europe & North America","set_50s",1,8,"Men",1,2
"28","Ireland","Women","Europe & North America","set_50s",1,8,"Women",1,2
"29","Italy","Women","Europe & North America","set_50s",1,8,"Men",1,2
"30","Italy","Women","Europe & North America","set_50s",1,8,"Women",1,2
"31","Lithuania","Women","FSU","set_50s",1,8,NA,NA,NA
