"","country","sex","edu2","n_total","n_childless","n_niu","n","continent","p_childless","p_niu","gii"
"1","Albania","Men","High",1548.70576834679,181.187172979116,68.7453438490629,4,"Europe & North America",11.6992637776852,37.9416173445051,0.282500006258488
"2","Albania","Men","Low",1186.49632647634,129.55901299417,54.7864622175694,4,"Europe & North America",10.9194617887217,42.2868783509756,0.282500006258488
"3","Albania","Women","High",3605.22136425972,131.361288025975,82.8256333917379,4,"Europe & North America",3.64364000857818,63.0517823297835,0.282500006258488
"4","Albania","Women","Low",3536.84521862865,103.698446750641,42.3966648876667,4,"Europe & North America",2.93194755044577,40.8845708071367,0.282500006258488
"5","Angola","Men","High",825.665497481823,15.7870909720659,9.51252910494805,4,"Africa",1.91204440784005,60.2551104682918,0.611000001430511
"6","Angola","Men","Low",712.994662560522,18.2350640818477,7.37455499917269,4,"Africa",2.55753163934797,40.4416182255909,0.611000001430511
"7","Angola","Women","High",1555.67718479038,36.9324638098478,22.0832097530365,4,"Africa",2.37404418930425,59.7934918903194,0.611000001430511
"8","Angola","Women","Low",1768.09947785735,53.6271258294582,9.89772206544876,4,"Africa",3.03303781834977,18.456558900667,0.611000001430511
"9","Armenia","Men","High",397.399729505181,47.5451573431492,35.2096032202244,4,"FSU",11.964063841299,74.0550777150762,0.399499997496605
"10","Armenia","Men","Low",569.024437174201,51.8424882292747,36.5693561434746,4,"FSU",9.11076657563719,70.5393537087682,0.399499997496605
"11","Armenia","Women","High",1093.00788672268,130.879480049015,97.6384353637695,4,"FSU",11.9742484604982,74.6017903854781,0.399499997496605
"12","Armenia","Women","Low",1043.05698931217,61.9931048899889,34.1860528439283,4,"FSU",5.94340534843348,55.1449276570255,0.399499997496605
"13","Austria","Men","High",357414.807373714,98855.3626080886,35991.5100178235,4,"Europe & North America",27.6584407161187,36.4082524895605,0.130000002682209
"14","Austria","Men","Low",391567.991222368,113996.759403308,45838.1560158242,4,"Europe & North America",29.1128902154236,40.2100518082747,0.130000002682209
"15","Austria","Women","High",332486.605842261,82956.5198192611,20887.8323804987,4,"Europe & North America",24.9503343477895,25.1792534522994,0.130000002682209
"16","Austria","Women","Low",408206.108275574,64137.1190266573,16683.4342796599,4,"Europe & North America",15.7119449529058,26.0121354573563,0.130000002682209
"17","Azerbaijan","Men","High",306.777632962912,18.4261100441217,4.12435400485992,4,"Asia",6.00634077072669,22.3832051094022,0.346000000834465
"18","Azerbaijan","Men","Low",435.421869628132,26.1394728049635,12.2718770429492,4,"Asia",6.00325216261823,46.9476838133435,0.346000000834465
"19","Azerbaijan","Women","High",992.911211870611,116.819640427828,82.9539142549038,4,"Asia",11.7653662312609,71.0102461804387,0.346000000834465
"20","Azerbaijan","Women","Low",1902.910614077,232.674831993878,146.599852412939,4,"Asia",12.227312742524,63.0063213784962,0.346000000834465
"21","Belgium","Men","High",598.539190326094,124.304332047726,42.1590415260834,4,"Europe & North America",20.7679520500576,33.9159873445895,0.113000001758337
"22","Belgium","Men","Low",692.535952226347,149.661948370493,51.140623341814,4,"Europe & North America",21.6107117456305,34.1707587657577,0.113000001758337
"23","Belgium","Women","High",590.088249519934,88.6017949159519,24.9339750575808,4,"Europe & North America",15.0150074989688,28.1416139269337,0.113000001758337
"24","Belgium","Women","Low",676.936797274271,88.6608031234556,21.136006139713,4,"Europe & North America",13.0973531769072,23.8391773987004,0.113000001758337
"25","Benin","Men","High",760.462866187095,18.8003448843956,7.78596696257591,4,"Africa",2.47222392049978,41.4139581505141,0.645999997854233
"26","Benin","Men","Low",1244.68282356858,24.7611359357833,9.41209387779236,4,"Africa",1.98935306785962,38.0115593331506,0.645999997854233
"27","Benin","Women","High",710.940700143575,19.0546637773514,5.42713496088981,4,"Africa",2.68020437900141,28.4819245529831,0.645999997854233
"28","Benin","Women","Low",2410.47183522583,22.7324911057949,2.90287303924561,4,"Africa",0.943072255547231,12.7697093368954,0.645999997854233
"29","Bolivia","Men","High",783.916200902313,66.3748028129339,50.0169148817659,4,"Latin America",8.46707884548557,75.3552745350221,0.537499994039536
"30","Bolivia","Men","Low",807.595459654927,41.5550010204316,23.9378139674664,4,"Latin America",5.14552187281827,57.6051338699204,0.537499994039536
"31","Bolivia","Women","High",2048.15064204856,151.560650326312,96.2576803416014,4,"Latin America",7.39987807609309,63.5109971713355,0.537499994039536
"32","Bolivia","Women","Low",3024.015313413,74.7931528985501,35.7270809710026,4,"Latin America",2.47330602351138,47.7678498451095,0.537499994039536
"33","Brazil","Men","High",32.0809660553932,3.76924303174019,2.21847900748253,4,"Latin America",11.7491568839665,58.8574148390293,0.478500008583069
"34","Brazil","Men","Low",35.9106723666191,7.27970811724663,4.78540015220642,4,"Latin America",20.2717121053225,65.7361541854837,0.478500008583069
"35","Brazil","Women","High",196.356768041849,29.6646917462349,19.3643007874489,4,"Latin America",15.1075473700568,65.2772695334232,0.478500008583069
"36","Brazil","Women","Low",267.811458677053,12.1092090606689,7.57270395755768,4,"Latin America",4.52154255104935,62.5367348075116,0.478500008583069
"37","Bulgaria","Men","High",745.033885344922,165.374153476484,116.974982855055,4,"Europe & North America",22.1968633547349,70.7335338660937,0.28099999576807
"38","Bulgaria","Men","Low",660.674758223246,94.9151967156101,61.818417560304,4,"Europe & North America",14.3664027623616,65.1301579719922,0.28099999576807
"39","Bulgaria","Women","High",769.835564370766,84.2989410972771,53.0930449497263,4,"Europe & North America",10.9502528850015,62.9818646102083,0.28099999576807
"40","Bulgaria","Women","Low",756.613385481843,46.1561088381419,26.3217802756327,4,"Europe & North America",6.10035583876801,57.0277281560643,0.28099999576807
"41","Burkina Faso","Men","High",526.03097140789,30.3639968633652,19.5331138670444,4,"Africa",5.77228310000412,64.3298507602323,0.645999997854233
"42","Burkina Faso","Men","Low",1732.29665449261,44.1480997800827,12.4779149889946,4,"Africa",2.54852999141845,28.2637645813783,0.645999997854233
"43","Burkina Faso","Women","High",624.951179593802,17.5543939769268,9.89260193705559,4,"Africa",2.80892244868417,56.3539929094577,0.645999997854233
"44","Burkina Faso","Women","Low",4293.90956106782,26.0227439105511,0,4,"Africa",0.606038472409738,0,0.645999997854233
"45","Burundi","Men","High",903.191061280668,24.7602530270815,15.988061979413,4,"Africa",2.74141918454917,64.5714805980623,0.578000009059906
"46","Burundi","Men","Low",1239.4005022645,25.3429289162159,12.861506998539,4,"Africa",2.04477316814961,50.7498838869781,0.578000009059906
"47","Burundi","Women","High",1326.93212013319,42.5158509463072,24.8643307983875,4,"Africa",3.20407127849462,58.4824959279032,0.578000009059906
"48","Burundi","Women","Low",2442.65729096532,87.455379165709,54.1359381377697,4,"Africa",3.5803376711576,61.901210256254,0.578000009059906
"49","Cambodia","Men","High",687.957521859556,32.7146279513836,7.01766201853752,4,"Asia",4.75532673339418,21.4511442067026,0.555999994277954
"50","Cambodia","Men","Low",1019.5745741874,36.6761331260204,13.6860710084438,4,"Asia",3.59719966097147,37.3160140994635,0.555999994277954
"51","Cambodia","Women","High",2333.70345358923,184.96573555097,115.590133849531,4,"Asia",7.92584573102006,62.4927279126674,0.555999994277954
"52","Cambodia","Women","Low",3452.13220692426,250.285268571228,157.00936966762,4,"Asia",7.25016463938454,62.7321658058101,0.555999994277954
"53","Cameroon","Men","High",797.15159998089,21.9194879829884,12.8989759683609,4,"Africa",2.7497263987821,58.8470678620401,0.659999996423721
"54","Cameroon","Men","Low",918.583441711962,36.5090310275554,19.5172341167927,4,"Africa",3.97449261218051,53.4586472647327,0.659999996423721
"55","Cameroon","Women","High",1708.92955899984,59.2649273276329,15.0230610668659,4,"Africa",3.46795612584044,25.3489909534762,0.659999996423721
"56","Cameroon","Women","Low",1279.6032461226,38.6924028396606,2.49826794862747,4,"Africa",3.0237812350746,6.45674025203389,0.659999996423721
"57","Canada","Men","High",2297386.88298035,560346.108810425,152775.355293274,4,"Europe & North America",24.390585362945,27.2644626046579,0.141500003635883
"58","Canada","Men","Low",2708476.45826721,635345.090759277,180855.516571045,4,"Europe & North America",23.4576560124783,28.4657140192759,0.141500003635883
"59","Canada","Women","High",2540615.74694443,528724.488998413,133529.496192932,4,"Europe & North America",20.8108797890552,25.2550239248201,0.141500003635883
"60","Canada","Women","Low",2699364.24304199,515929.300632477,133206.90020752,4,"Europe & North America",19.1129930672513,25.8188282860115,0.141500003635883
"61","Colombia","Men","High",7026.73100665817,1083.68149994779,576.823782007675,4,"Latin America",15.4222710236233,53.2281654744003,0.480499997735023
"62","Colombia","Men","Low",5620.74007110228,735.874539875425,396.534170929343,4,"Latin America",13.0921289824226,53.8861109390293,0.480499997735023
"63","Colombia","Women","High",7799.42874211143,698.004264702554,371.510343293194,4,"Latin America",8.94942806431222,53.2246523524478,0.480499997735023
"64","Colombia","Women","Low",5028.29212427209,151.251063620672,72.3871684428304,4,"Latin America",3.0080007263414,47.8589483670495,0.480499997735023
"65","Congo","Men","High",1014.02545104176,37.8686486035585,13.7644968181848,4,"Africa",3.73448699582975,36.3480011190349,0.617500007152557
"66","Congo","Men","Low",664.684260480105,34.1968577951193,23.8552518934011,4,"Africa",5.14482737569545,69.7586077537387,0.617500007152557
"67","Congo","Women","High",1953.35541336238,60.5901650488376,12.2606939524412,4,"Africa",3.10185052010282,20.2354523090649,0.617500007152557
"68","Congo","Women","Low",1062.73434692621,12.624521099031,3.28340902924538,4,"Africa",1.18792820948578,26.0081867936948,0.617500007152557
"69","Czechia","Men","High",46.2028828870929,5.90418506654293,2.087829969081,4,"Europe & North America",12.7788239555768,35.3618652794615,0.157499998807907
"70","Czechia","Men","Low",123.148611015349,16.6725879505932,6.23005027838983,4,"Europe & North America",13.5385919606638,37.3670260241043,0.157499998807907
"71","Czechia","Women","High",42.8978633951743,3.48505631310695,1.23326134410548,4,"Europe & North America",8.12407900366197,35.387128163964,0.157499998807907
"72","Czechia","Women","Low",115.439745448328,8.56175303826072,3.17293096484137,4,"Europe & North America",7.41664234013151,37.0593609820581,0.157499998807907
"73","Denmark","Men","High",54.5465192525526,9.42946307902576,2.04344917704935,4,"Europe & North America",17.2870115421425,21.6708964224554,0.0620000008493662
"74","Denmark","Men","Low",70.8789926024848,16.6456506179754,1.96314780665593,4,"Europe & North America",23.4846038392931,11.793758331897,0.0620000008493662
"75","Denmark","Women","High",53.6233573734922,7.13947648929225,1.08746462822444,4,"Europe & North America",13.3141169053722,15.2317138358171,0.0620000008493662
"76","Denmark","Women","Low",72.207258443112,10.8174433366288,1.45592605151346,4,"Europe & North America",14.9811024125106,13.4590587277084,0.0620000008493662
"77","Dominican Republic","Men","High",274.480793774128,20.44256465137,5.76233798265457,4,"Latin America",7.4477213397278,28.1879406078747,0.497500002384186
"78","Dominican Republic","Men","Low",187.686852008104,29.0264537855983,12.518211722374,4,"Latin America",15.4653634365102,43.1269069754053,0.497500002384186
"79","Dominican Republic","Women","High",2500.31046245247,148.015487581491,69.465249337256,4,"Latin America",5.91988434253511,46.931068141779,0.497500002384186
"80","Dominican Republic","Women","Low",2025.82323209196,70.8352177515626,16.9043970257044,4,"Latin America",3.49661395078458,23.864396217419,0.497500002384186
"81","Estonia","Men","High",270.489882254548,51.2320222938095,14.8456168243762,4,"Europe & North America",18.9404579079956,28.977221978938,0.222500003874302
"82","Estonia","Men","Low",462.103184981658,61.4464055644464,30.3394957525389,4,"Europe & North America",13.2971179514561,49.3755419439761,0.222500003874302
"83","Estonia","Women","High",408.945936576101,34.4716839251747,18.8293047940359,4,"Europe & North America",8.42939881339543,54.6225268104319,0.222500003874302
"84","Estonia","Women","Low",382.736873137669,28.2415299981415,11.2237022358894,4,"Europe & North America",7.37883699749596,39.7418349382204,0.222500003874302
"85","Finland","Men","High",48.0428594538388,10.29583942445,2.53800019183424,4,"Europe & North America",21.4305300340057,24.6507359643462,0.0769999995827675
"86","Finland","Men","Low",66.8626390588397,17.8451288980947,6.05284621654761,4,"Europe & North America",26.689238039783,33.9187587330561,0.0769999995827675
"87","Finland","Women","High",48.7349959226456,7.68792509284596,2.2554553451048,4,"Europe & North America",15.7749579071446,29.3376342493715,0.0769999995827675
"88","Finland","Women","Low",57.6420959965124,10.0156234581034,1.54180348681847,4,"Europe & North America",17.3755365500751,15.3939841415567,0.0769999995827675
"89","France","Men","High",2269049.87658892,503587.783737848,153364.299755101,4,"Europe & North America",22.1937732146679,30.454332830865,0.161999993026257
"90","France","Men","Low",2398458.07348309,546256.049078863,218492.148863952,4,"Europe & North America",22.7753011452719,39.9981197887676,0.161999993026257
"91","France","Women","High",2118594.81859846,348392.798815406,107315.496322225,4,"Europe & North America",16.4445223672303,30.8030179404155,0.161999993026257
"92","France","Women","Low",2664870.15049616,268427.228823289,94930.5814880972,4,"Europe & North America",10.0728070661646,35.3654813277501,0.161999993026257
"93","Gabon","Men","High",1118.05213373154,71.5205565616488,20.5874483212828,4,"Africa",6.3968892329686,28.785358099859,0.600499987602234
"94","Gabon","Men","Low",760.811561875045,58.5128370821476,31.5554668009281,4,"Africa",7.6908448838423,53.9291348266478,0.600499987602234
"95","Gabon","Women","High",1496.01703770086,68.1435116752982,21.3408732116222,4,"Africa",4.55499569577255,31.3175424731717,0.600499987602234
"96","Gabon","Women","Low",806.801304388791,33.2160611823201,6.26717194914818,4,"Africa",4.11700638083172,18.8678962106561,0.600499987602234
"97","Gambia","Men","High",598.711925923825,34.1290628612042,21.1308389827609,4,"Africa",5.7004147376123,61.9145010476722,0.706000000238419
"98","Gambia","Men","Low",460.988003380597,14.5232311934233,5.49603815376759,4,"Africa",3.15045751449474,37.8430810648833,0.706000000238419
"99","Gambia","Women","High",605.057135015726,23.5194050073624,4.01474893093109,4,"Africa",3.88713786620351,17.0699425843227,0.706000000238419
"100","Gambia","Women","Low",1093.77880010754,23.8546422272921,0.179158002138138,4,"Africa",2.18093843334198,0.751040407276213,0.706000000238419
"101","Georgia","Men","High",539.982413172721,96.0160472393036,69.8668295145035,4,"FSU",17.7813285946021,72.7657839739772,0.401500001549721
"102","Georgia","Men","Low",552.547421813011,78.0720232129097,55.4289589524269,4,"FSU",14.1294701831638,70.9972108718983,0.401500001549721
"103","Georgia","Women","High",692.07258027792,115.473808407783,91.7634429931641,4,"FSU",16.6852165074091,79.4668888628939,0.401500001549721
"104","Georgia","Women","Low",575.786947607995,59.7499049305916,42.9670416116715,4,"FSU",10.3770856874773,71.9114811338765,0.401500001549721
"105","Germany","Men","High",1401.79993336603,478.910246590681,163.047850417704,4,"Europe & North America",34.1639513022883,34.0455965556024,0.114500001072884
"106","Germany","Men","Low",1722.82020684865,517.71696755689,197.175842141789,4,"Europe & North America",30.0505511543708,38.08564418359,0.114500001072884
"107","Germany","Women","High",1322.68964234752,251.783678624605,72.4209752226257,4,"Europe & North America",19.0357337476188,28.7631730611901,0.114500001072884
"108","Germany","Women","Low",1760.83294311398,291.418223144052,62.9343937086919,4,"Europe & North America",16.550021072907,21.5959019411022,0.114500001072884
"109","Ghana","Men","High",1092.94048090279,84.8651487529278,48.5206540226936,4,"Africa",7.76484632382062,57.1738278147066,0.588499993085861
"110","Ghana","Men","Low",485.161107510329,16.460409976542,8.96387001872062,4,"Africa",3.39277195177719,54.4571491930952,0.588499993085861
"111","Ghana","Women","High",1801.7127162069,88.1453150212765,22.5532019138337,4,"Africa",4.89230687158863,25.5863875560372,0.588499993085861
"112","Ghana","Women","Low",1380.49571473897,28.6046438515186,4.32337698340416,4,"Africa",2.07205596845532,15.1142486018914,0.588499993085861
"113","Guatemala","Men","High",1648.27300297469,126.426374673843,82.8888049125671,4,"Latin America",7.67023268874013,65.5629057832314,0.566500008106232
"114","Guatemala","Men","Low",1824.89623258263,126.2386713624,79.7420772910118,4,"Latin America",6.91758079766238,63.167709569829,0.566500008106232
"115","Guatemala","Women","High",3079.31600466371,232.270598962903,166.816791847348,4,"Latin America",7.54292831950741,71.8200205244192,0.566500008106232
"116","Guatemala","Women","Low",4395.11168386787,205.937371030449,145.170338071883,4,"Latin America",4.68560040888919,70.4924693102051,0.566500008106232
"117","Guinea","Men","High",376.101895362139,17.0561040639877,7.44149696826935,4,"Africa",4.53496892047429,43.6295237197886,0.677500009536743
"118","Guinea","Men","Low",915.619900941849,27.2690889835358,10.351556956768,4,"Africa",2.97821060414759,37.9607729580478,0.677500009536743
"119","Guinea","Women","High",206.848982721567,14.9378319978714,2.52670800685883,4,"Africa",7.22161250267243,16.9148241004376,0.677500009536743
