"","country","sex","edu2","n_total","n_childless","n_niu","n","continent","p_childless","p_niu","gii"
"1","Albania","Men","All",7296,248,127,2,"Europe & North America",3.39912280701754,51.2096774193548,0.282500006258488
"2","Albania","Women","All",2800,266,93,2,"Europe & North America",9.5,34.9624060150376,0.282500006258488
"3","Angola","Men","All",3259,105,34,2,"Africa",3.2218471923903,32.3809523809524,0.611000001430511
"4","Angola","Women","All",1570,57,21,2,"Africa",3.63057324840764,36.8421052631579,0.611000001430511
"5","Armenia","Men","All",2151,163,107,2,"FSU",7.57787075778707,65.6441717791411,0.399499997496605
"6","Armenia","Women","All",966,92,65,2,"FSU",9.52380952380952,70.6521739130435,0.399499997496605
"7","Austria","Men","All",1577,455,130,2,"Europe & North America",28.852251109702,28.5714285714286,0.130000002682209
"8","Austria","Women","All",2248,397,88,2,"Europe & North America",17.6601423487544,22.1662468513854,0.130000002682209
"9","Azerbaijan","Men","All",2902,366,249,2,"Asia",12.6119917298415,68.0327868852459,0.346000000834465
"10","Azerbaijan","Women","All",743,37,16,2,"Asia",4.97981157469717,43.2432432432432,0.346000000834465
"11","Belgium","Men","All",1467,308,100,2,"Europe & North America",20.9952283571915,32.4675324675325,0.113000001758337
"12","Belgium","Women","All",1600,219,56,2,"Europe & North America",13.6875,25.5707762557078,0.113000001758337
"13","Benin","Men","All",3150,49,12,2,"Africa",1.55555555555556,24.4897959183673,0.645999997854233
"14","Benin","Women","All",1997,46,18,2,"Africa",2.30345518277416,39.1304347826087,0.645999997854233
"15","Bolivia","Men","All",5018,220,134,2,"Latin America",4.38421681944998,60.9090909090909,0.537499994039536
"16","Bolivia","Women","All",1566,108,73,2,"Latin America",6.89655172413793,67.5925925925926,0.537499994039536
"17","Brazil","Men","All",468,40,26,2,"Latin America",8.54700854700855,65,0.478500008583069
"18","Brazil","Women","All",75,13,7,2,"Latin America",17.3333333333333,53.8461538461538,0.478500008583069
"19","Bulgaria","Men","All",1647,310,210,2,"Europe & North America",18.8221007893139,67.741935483871,0.28099999576807
"20","Bulgaria","Women","All",2248,181,108,2,"Europe & North America",8.05160142348755,59.6685082872928,0.28099999576807
"21","Burkina Faso","Men","All",4970,45,8,2,"Africa",0.905432595573441,17.7777777777778,0.645999997854233
"22","Burkina Faso","Women","All",2242,71,32,2,"Africa",3.16681534344335,45.0704225352113,0.645999997854233
"23","Burundi","Men","All",3757,143,83,2,"Africa",3.80622837370242,58.041958041958,0.578000009059906
"24","Burundi","Women","All",2140,57,32,2,"Africa",2.66355140186916,56.140350877193,0.578000009059906
"25","Cambodia","Men","All",5672,429,277,2,"Asia",7.56346967559944,64.5687645687646,0.555999994277954
"26","Cambodia","Women","All",1679,73,21,2,"Asia",4.34782608695652,28.7671232876712,0.555999994277954
"27","Cameroon","Men","All",3054,104,17,2,"Africa",3.40537000654879,16.3461538461538,0.659999996423721
"28","Cameroon","Women","All",1729,71,40,2,"Africa",4.10641989589358,56.3380281690141,0.659999996423721
"29","Canada","Men","All",3712,1098,349,2,"Europe & North America",29.5797413793103,31.7850637522769,0.141500003635883
"30","Canada","Women","All",4679,1198,361,2,"Europe & North America",25.6037614874973,30.1335559265442,0.141500003635883
"31","Colombia","Men","All",12567,701,361,2,"Latin America",5.57810137662131,51.4978601997147,0.480499997735023
"32","Colombia","Women","All",12403,1673,863,2,"Latin America",13.4886720954608,51.5839808726838,0.480499997735023
"33","Congo","Men","All",3368,76,14,2,"Africa",2.25653206650831,18.4210526315789,0.617500007152557
"34","Congo","Women","All",1818,76,42,2,"Africa",4.18041804180418,55.2631578947368,0.617500007152557
"35","Croatia","Men","All",238,67,31,2,"Europe & North America",28.1512605042017,46.2686567164179,0.163500003516674
"36","Croatia","Women","All",367,49,21,2,"Europe & North America",13.3514986376022,42.8571428571429,0.163500003516674
"37","Cyprus","Men","All",199,28,7,2,"Europe & North America",14.070351758794,25,0.184499993920326
"38","Cyprus","Women","All",260,30,13,2,"Europe & North America",11.5384615384615,43.3333333333333,0.184499993920326
"39","Czechia","Men","All",1246,300,165,2,"Europe & North America",24.0770465489567,55,0.157499998807907
"40","Czechia","Women","All",1370,157,62,2,"Europe & North America",11.4598540145985,39.4904458598726,0.157499998807907
"41","Denmark","Men","All",429,85,17,2,"Europe & North America",19.8135198135198,20,0.0620000008493662
"42","Denmark","Women","All",396,58,8,2,"Europe & North America",14.6464646464646,13.7931034482759,0.0620000008493662
"43","Dominican Republic","Men","All",4476,185,71,2,"Latin America",4.1331546023235,38.3783783783784,0.497500002384186
"44","Dominican Republic","Women","All",456,62,23,2,"Latin America",13.5964912280702,37.0967741935484,0.497500002384186
"45","Estonia","Men","All",937,153,59,2,"Europe & North America",16.3287086446105,38.562091503268,0.222500003874302
"46","Estonia","Women","All",1386,110,42,2,"Europe & North America",7.93650793650794,38.1818181818182,0.222500003874302
"47","Finland","Men","All",440,102,30,2,"Europe & North America",23.1818181818182,29.4117647058824,0.0769999995827675
"48","Finland","Women","All",440,71,16,2,"Europe & North America",16.1363636363636,22.5352112676056,0.0769999995827675
"49","France","Men","All",1488,323,111,2,"Europe & North America",21.7069892473118,34.3653250773994,0.161999993026257
"50","France","Women","All",1774,275,86,2,"Europe & North America",15.5016910935738,31.2727272727273,0.161999993026257
"51","Gabon","Men","All",2618,117,23,2,"Africa",4.46906035141329,19.6581196581197,0.600499987602234
"52","Gabon","Women","All",1939,135,53,2,"Africa",6.96235172769469,39.2592592592593,0.600499987602234
"53","Gambia","Men","All",1733,43,3,2,"Africa",2.48124639353722,6.97674418604651,0.706000000238419
"54","Gambia","Women","All",1142,51,30,2,"Africa",4.46584938704028,58.8235294117647,0.706000000238419
"55","Georgia","Men","All",990,159,115,2,"FSU",16.0606060606061,72.3270440251572,0.401500001549721
"56","Georgia","Women","All",1250,173,131,2,"FSU",13.84,75.7225433526011,0.401500001549721
"57","Germany","Men","All",1708,535,214,2,"Europe & North America",31.3231850117096,40,0.114500001072884
"58","Germany","Women","All",2050,324,94,2,"Europe & North America",15.8048780487805,29.0123456790123,0.114500001072884
"59","Ghana","Men","All",3162,96,24,2,"Africa",3.03605313092979,25,0.588499993085861
"60","Ghana","Women","All",1570,84,50,2,"Africa",5.35031847133758,59.5238095238095,0.588499993085861
"61","Guatemala","Men","All",7624,471,351,2,"Latin America",6.17785939139559,74.5222929936306,0.566500008106232
"62","Guatemala","Women","All",3460,271,175,2,"Latin America",7.83236994219653,64.5756457564576,0.566500008106232
"63","Guinea","Men","All",2173,93,11,2,"Africa",4.27979751495628,11.8279569892473,0.677500009536743
"64","Guinea","Women","All",1335,43,19,2,"Africa",3.22097378277154,44.1860465116279,0.677500009536743
"65","Guyana","Men","All",1831,124,63,2,"Latin America",6.77225559803386,50.8064516129032,0.528499990701675
"66","Guyana","Women","All",1305,164,81,2,"Latin America",12.5670498084291,49.390243902439,0.528499990701675
"67","Honduras","Men","All",6673,292,180,2,"Latin America",4.37584294919826,61.6438356164384,0.501499995589256
"68","Honduras","Women","All",2357,196,102,2,"Latin America",8.31565549427238,52.0408163265306,0.501499995589256
"69","Hungary","Men","All",1340,300,142,2,"Europe & North America",22.3880597014925,47.3333333333333,0.265500001609325
"70","Hungary","Women","All",1623,174,66,2,"Europe & North America",10.720887245841,37.9310344827586,0.265500001609325
"71","Iceland","Men","All",145,13,6,2,"Europe & North America",8.96551724137931,46.1538461538462,0.117000002413988
"72","Iceland","Women","All",147,14,3,2,"Europe & North America",9.52380952380952,21.4285714285714,0.117000002413988
"73","India","Men","All",214490,8658,2910,2,"Asia",4.0365518205977,33.6105336105336,0.622999995946884
"74","India","Women","All",41306,3315,1049,2,"Asia",8.02546845494601,31.6440422322775,0.622999995946884
"75","Indonesia","Men","All",16649,1034,445,2,"Asia",6.2105832182113,43.036750483559,0.534500002861023
"76","Indonesia","Women","All",5897,187,0,2,"Asia",3.17110395116161,0,0.534500002861023
