"","x","country","sex","bc_cate","education","datasetname","total_n","childless_n","never_in_union_n","prop_childless","prop_neverinunion","hdi","iso3","iso2","continent","year","life_exp","pop","gdp_percap","small_cases","small_cases_n","cont_hdi"
"1",1540,"Chad","Men","1960-1969","All","DHS",676.450402069837,11.6468918658793,3.49607491493225,0.0172176582795155,0.30017235114669,0.394,"TCD","TD","Africa",1992,51.724,6429417,1058.0643,1,2,0.54344
"2",1543,"Chad","Women","1960-1969","All","DHS",1260.2718228288,10.5796119570732,1.31557700037956,0.00839470641605416,0.124350213005686,0.394,"TCD","TD","Africa",1992,51.724,6429417,1058.0643,1,2,0.54344
"3",1514,"Burundi","Men","1960-1969","All","DHS",925.39876255393,18.2896829247475,13.3338660299778,0.0197641099867816,0.729037571883542,0.426,"BDI","BI","Africa",1992,44.736,5809236,631.6998778,1,2,0.54344
"4",1517,"Burundi","Women","1960-1969","All","DHS",659.777081355453,21.1711401343346,12.6319000124931,0.0320883230603288,0.596656577413473,0.426,"BDI","BI","Africa",1992,44.736,5809236,631.6998778,1,2,0.54344
"5",1798,"Mozambique","Men","1960-1969","All","DHS",469.575344592333,12.6228640675545,2.27997997403145,0.0268814455718777,0.180623031495036,0.446,"MOZ","MZ","Africa",1992,44.284,13160731,410.8968239,1,2,0.54344
"6",1800,"Mozambique","Women","1960-1969","All","DHS",1801.38788765669,68.6818648576736,7.83358404040337,0.0381271936645569,0.114056076616972,0.446,"MOZ","MZ","Africa",1992,44.284,13160731,410.8968239,1,2,0.54344
"7",1509,"Burkina Faso","Men","1960-1969","All","DHS",1292.79867291451,14.615866035223,3.52595001459122,0.0113056010509917,0.241241265217811,0.449,"BFA","BF","Africa",1992,50.26,8878303,931.7527731,1,2,0.54344
"8",1511,"Burkina Faso","Women","1960-1969","All","DHS",2478.07210567594,22.211295902729,5.56590396165848,0.00896313543575055,0.25058888891641,0.449,"BFA","BF","Africa",1992,50.26,8878303,931.7527731,1,2,0.54344
"9",1663,"Guinea","Men","1960-1969","All","DHS",514.963152706623,10.8021518588066,5.64801388978958,0.0209765529864243,0.522860071179703,0.465,"GIN","GN","Africa",1992,48.576,6990574,794.3484384,1,2,0.54344
"10",1666,"Guinea","Women","1960-1969","All","DHS",171.208185315132,11.0521720051765,2.9341059923172,0.0645539930514039,0.265477771332454,0.465,"GIN","GN","Africa",1992,48.576,6990574,794.3484384,1,2,0.54344
"11",1576,"Democratic Republic of the Congo","Men","1960-1969","All","DHS",1227.78394410014,26.9525898918509,9.33739584684372,0.0219522254068934,0.346437796304943,0.479,"COD","CD","Africa",1992,45.548,41672143,457.7191807,1,2,0.54344
"12",1578,"Democratic Republic of the Congo","Women","1960-1969","All","DHS",1477.26588556916,36.8780712112784,8.59091320633888,0.0249637330500393,0.232954515357396,0.479,"COD","CD","Africa",1992,45.548,41672143,457.7191807,1,2,0.54344
"13",1598,"Ethiopia","Men","1960-1969","All","DHS",1326.80067468714,28.7670138506219,9.11338789388537,0.0216814887114865,0.316799927208585,0.498,"ETH","ET","Africa",1992,48.091,52088559,421.3534653,1,2,0.54344
"14",1601,"Ethiopia","Women","1960-1969","All","DHS",537.319930090569,17.1204499714077,3.09592598676682,0.0318626743819496,0.1808320454157,0.498,"ETH","ET","Africa",1992,48.091,52088559,421.3534653,1,2,0.54344
"15",1767,"Madagascar","Men","1960-1969","All","DHS",1497.9954289645,60.278814420104,14.8661119937897,0.0402396517736854,0.246622501401282,0.501,"MDG","MG","Africa",1992,52.214,12210395,1040.67619,1,2,0.54344
"16",1770,"Madagascar","Women","1960-1969","All","DHS",3362.2117164731,160.276163980365,35.3496379256248,0.0476698606441393,0.220554554387485,0.501,"MDG","MG","Africa",1992,52.214,12210395,1040.67619,1,2,0.54344
"17",1772,"Malawi","Men","1960-1969","All","DHS",693.215400006622,14.8998809810728,7.13433901034296,0.0214938689777095,0.478818523410063,0.512,"MWI","MW","Africa",1992,49.42,10014249,563.2000145,1,2,0.54344
"18",1775,"Malawi","Women","1960-1969","All","DHS",1143.93684117123,14.4474610686302,0,0.0126295967999755,0,0.512,"MWI","MW","Africa",1992,49.42,10014249,563.2000145,1,2,0.54344
"19",1742,"Lesotho","Men","1960-1969","All","DHS",317.98785020411,28.0062488913536,13.2855950295925,0.0880733300765327,0.474379667235414,0.514,"LSO","LS","Africa",1992,59.685,1803195,977.4862725,1,2,0.54344
"20",1744,"Lesotho","Women","1960-1969","All","DHS",513.990253552794,24.6253219544888,6.80651086568832,0.0479100951511709,0.276402918843772,0.514,"LSO","LS","Africa",1992,59.685,1803195,977.4862725,1,2,0.54344
"21",1845,"Nigeria","Men","1960-1969","All","DHS",1499.35735217482,22.0238080322742,9.72823601961136,0.0146888318520789,0.441714530264493,0.535,"NGA","NG","Africa",1992,47.472,93364244,1619.848217,1,2,0.54344
"22",1848,"Nigeria","Women","1960-1969","All","DHS",733.405665136874,22.2970591932535,2.3136790394783,0.0304020820306757,0.103766107423635,0.535,"NGA","NG","Africa",1992,47.472,93364244,1619.848217,1,2,0.54344
"23",1968,"Togo","Men","1960-1969","All","DHS",656.164762824774,15.2339030951262,7.06313614547253,0.0232165821120058,0.463645862873596,0.539,"TGO","TG","Africa",1992,58.061,3747553,1034.298904,1,2,0.54344
"24",1970,"Togo","Women","1960-1969","All","DHS",921.260800644755,18.2301938533783,6.24557507038116,0.0197883095000023,0.342595099131311,0.539,"TGO","TG","Africa",1992,58.061,3747553,1034.298904,1,2,0.54344
"25",1721,"Ivory Coast","Men","1960-1969","All","DHS",750.356207769364,24.988842189312,9.60429719090462,0.0333026393739023,0.384343424883146,0.55,"CIV","CI","Africa",1992,52.044,12772596,1648.073791,1,2,0.54344
"26",1723,"Ivory Coast","Women","1960-1969","All","DHS",1056.5686833486,33.3249029442668,8.30997591465712,0.0315406877654651,0.249362344087089,0.55,"CIV","CI","Africa",1992,52.044,12772596,1648.073791,1,2,0.54344
"27",1793,"Mauritania","Men","1960-1969","All","DHS",330.198389559984,50.5334511399269,34.76474198699,0.153039665660595,0.687955031820934,0.556,"MRT","MR","Africa",1992,58.333,2119465,1361.369784,1,2,0.54344
"28",1795,"Mauritania","Women","1960-1969","All","DHS",1165.04138643295,92.6638089865446,40.4601679444313,0.0795369246669054,0.436633982424642,0.556,"MRT","MR","Africa",1992,58.333,2119465,1361.369784,1,2,0.54344
"29",1554,"Comoros","Men","1960-1969","All","DHS",285.574264973402,19.7420379221439,5.17889094352722,0.0691310119417891,0.262328082032415,0.558,"COM","KM","Africa",1992,57.939,454429,1246.90737,1,2,0.54344
"30",1556,"Comoros","Women","1960-1969","All","DHS",421.827690139413,22.558059990406,0,0.0534769540210853,0,0.558,"COM","KM","Africa",1992,57.939,454429,1246.90737,1,2,0.54344
"31",1559,"Congo","Men","1960-1969","All","DHS",804.192331187427,29.5531266480684,16.1287918686867,0.0367488292314748,0.545755853881568,0.571,"COG","CG","Africa",1992,56.433,2409073,4016.239529,1,2,0.54344
"32",1561,"Congo","Women","1960-1969","All","DHS",1252.87041711807,27.300314091146,6.01119495928288,0.0217902136710546,0.220187758251193,0.571,"COG","CG","Africa",1992,56.433,2409073,4016.239529,1,2,0.54344
"33",1733,"Kenya","Men","1960-1969","All","DHS",1589.60987130925,43.3284064009786,27.055420294404,0.0272572580121763,0.624426849305793,0.575,"KEN","KE","Africa",1992,59.285,25020539,1341.921721,1,2,0.54344
"34",1735,"Kenya","Women","1960-1969","All","DHS",2430.21684770659,45.8233221024275,16.2900351583958,0.0188556515628106,0.355496598914919,0.575,"KEN","KE","Africa",1992,59.285,25020539,1341.921721,1,2,0.54344
"35",1525,"Cameroon","Men","1960-1969","All","DHS",680.172865569592,13.0443029105663,4.09371599555016,0.0191779230999501,0.313831718231115,0.576,"CMR","CM","Africa",1992,54.314,12467171,1793.163278,1,2,0.54344
"36",1529,"Cameroon","Women","1960-1969","All","DHS",894.967583745718,26.0079470276833,6.28706595301628,0.0290602112300335,0.241736341062377,0.576,"CMR","CM","Africa",1992,54.314,12467171,1793.163278,1,2,0.54344
"37",1441,"Angola","Men","1960-1969","All","DHS",587.803102172911,12.3653870150447,2.66903401166201,0.0210366140793303,0.21584718767109,0.586,"AGO","AO","Africa",1992,40.647,8735988,2627.845685,1,2,0.54344
"38",1444,"Angola","Women","1960-1969","All","DHS",656.098207078874,16.3793602436781,4.72784507274628,0.0249647995787146,0.288646504039807,0.586,"AGO","AO","Africa",1992,40.647,8735988,2627.845685,1,2,0.54344
"39",2000,"Zimbabwe","Men","1960-1969","All","DHS",805.527701176703,18.9950738921762,8.0731238797307,0.0235809071052783,0.425011449050267,0.593,"ZWE","ZW","Africa",1992,60.377,10704340,693.4207856,1,2,0.54344
"40",2003,"Zimbabwe","Women","1960-1969","All","DHS",455.448356337845,19.1609609127045,9.52530501782894,0.0420705457513852,0.497120424243091,0.593,"ZWE","ZW","Africa",1992,60.377,10704340,693.4207856,1,2,0.54344
"41",1939,"Swaziland","Men","1960-1969","All","DHS",597.713580936193,42.0521879196167,25.7092730104923,0.0703550818667208,0.611365883260008,0.597,"SWZ","SZ","Africa",1992,58.474,962344,3553.0224,1,2,0.54344
"42",1942,"Swaziland","Women","1960-1969","All","DHS",909.548676945269,39.3247029855847,9.73275396972895,0.043235402329051,0.24749720228775,0.597,"SWZ","SZ","Africa",1992,58.474,962344,3553.0224,1,2,0.54344
"43",1810,"Namibia","Men","1960-1969","All","DHS",538.74982444942,47.3589653074741,32.9737213551998,0.087905300676196,0.696250881773297,0.615,"NAM","NA","Africa",1992,61.999,1554253,3804.537999,1,2,0.54344
