country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Albania,Men,1950-1959,High,195.08774100244045,7.747939914464951,1.8321290016174316
Albania,Men,1950-1959,Low,133.42644464969635,8.160149037837982,0.3329879939556122
Albania,Men,1960-1969,High,927.8303676992655,75.98992702364922,25.267436921596527
Albania,Men,1960-1969,Low,615.2465078234673,40.59552823007107,12.124845191836357
Albania,Men,1970-1979,High,620.875400647521,105.19724595546722,43.47790692746639
Albania,Men,1970-1979,Low,571.2498186528683,88.96348476409912,42.661617025732994
Albania,Men,1980-1989,High,135.28540448844433,51.94390591979027,32.598422810435295
Albania,Men,1980-1989,Low,158.94578172266483,36.28895753622055,23.09682062268257
Albania,Women,1950-1959,High,413.095784842968,0,NA
Albania,Women,1950-1959,Low,441.27753934264183,0,NA
Albania,Women,1960-1969,High,2016.8500191420317,21.293170109391212,19.769339099526405
Albania,Women,1960-1969,Low,1959.1999672204256,11.80808900296688,5.564539045095444
Albania,Women,1970-1979,High,1588.3713451176882,110.06811791658401,63.05629429221153
Albania,Women,1970-1979,Low,1577.6452514082193,91.89035774767399,36.83212584257126
Albania,Women,1980-1989,High,372.71006222069263,47.65236049890518,33.2331722676754
Albania,Women,1980-1989,Low,443.98005175590515,34.3591855019331,24.903005301952362
Angola,Men,1960-1969,High,301.6877026259899,3.5869849771261215,0.8813350200653076
Angola,Men,1960-1969,Low,286.11539954692125,8.778402037918568,1.7876989915966988
Angola,Men,1970-1979,High,523.977794855833,12.200105994939804,8.631194084882736
Angola,Men,1970-1979,Low,426.8792630136013,9.4566620439291,5.586856007575989
Angola,Men,1980-1989,High,63.53747197240591,0.9784859716892242,0.9784859716892242
Angola,Men,1980-1989,Low,63.5218601077795,1.6659759879112244,1.1752049773931503
Angola,Women,1960-1969,High,318.4184627458453,5.9491400718688965,1.9415540099143982
Angola,Women,1960-1969,Low,337.6797443330288,10.430220171809196,2.7862910628318787
Angola,Women,1970-1979,High,1237.2587220445275,30.983323737978935,20.1416557431221
Angola,Women,1970-1979,Low,1430.4197335243225,43.19690565764904,7.111431002616882
Angola,Women,1980-1989,High,93.87528505921364,3.5123449563980103,0.6310650110244751
Angola,Women,1980-1989,Low,224.02390702068806,3.77007095515728,3.606067955493927
Armenia,Men,1960-1969,High,106.97216342389584,4.8939520716667175,4.8939520716667175
Armenia,Men,1960-1969,Low,131.90810349583626,5.360205054283142,2.5591840147972107
